EXPORTED XY-GRAPH DATA
136 2 2
Drain Voltage
Drain Current
3.2000000000e-01 2.5548267300e-10 
3.3000000000e-01 3.4499605380e-10 
3.4000000000e-01 4.6642157250e-10 
3.5000000000e-01 6.3125771890e-10 
3.6000000000e-01 8.5517092640e-10 
3.7000000000e-01 1.1595101690e-09 
3.8000000000e-01 1.5612975760e-09 
3.9000000000e-01 2.0771847700e-09 
4.0000000000e-01 2.7640830020e-09 
4.1000000000e-01 3.6787543240e-09 
4.2000000000e-01 4.8967784980e-09 
4.3000000000e-01 6.5187594560e-09 
4.4000000000e-01 8.6785583540e-09 
4.5000000000e-01 1.1554189080e-08 
4.6000000000e-01 1.5382214670e-08 
4.7000000000e-01 2.0476756540e-08 
4.8000000000e-01 2.7254435920e-08 
4.9000000000e-01 3.6267126670e-08 
5.0000000000e-01 4.8244599530e-08 
5.1000000000e-01 6.4149921940e-08 
5.2000000000e-01 8.5251134530e-08 
5.3000000000e-01 1.1321260070e-07 
5.4000000000e-01 1.5016347580e-07 
5.5000000000e-01 1.9885152610e-07 
5.6000000000e-01 2.6299063080e-07 
5.7000000000e-01 3.4725432960e-07 
5.8000000000e-01 4.5759616720e-07 
5.9000000000e-01 6.0152639530e-07 
6.0000000000e-01 7.8841025430e-07 
6.1000000000e-01 1.0297693950e-06 
6.2000000000e-01 1.3395578220e-06 
6.3000000000e-01 1.7343732200e-06 
6.4000000000e-01 2.2335561980e-06 
6.5000000000e-01 2.8591276040e-06 
6.6000000000e-01 3.6355215470e-06 
6.7000000000e-01 4.5890921910e-06 
6.8000000000e-01 5.7468198260e-06 
6.9000000000e-01 7.1368275700e-06 
7.0000000000e-01 8.7862902150e-06 
7.1000000000e-01 1.0720760810e-05 
7.2000000000e-01 1.2963387570e-05 
7.3000000000e-01 1.5534328680e-05 
7.4000000000e-01 1.8450411060e-05 
7.5000000000e-01 2.1725076740e-05 
7.6000000000e-01 2.5368450310e-05 
7.7000000000e-01 2.9387753750e-05 
7.8000000000e-01 3.3787541880e-05 
7.9000000000e-01 3.8570191290e-05 
8.0000000000e-01 4.3736377260e-05 
8.1000000000e-01 4.9285443230e-05 
8.2000000000e-01 5.5215757530e-05 
8.3000000000e-01 6.1525076240e-05 
8.4000000000e-01 6.8210743330e-05 
8.5000000000e-01 7.5269584810e-05 
8.6000000000e-01 8.2698385080e-05 
8.7000000000e-01 9.0493857190e-05 
8.8000000000e-01 9.8652613800e-05 
8.9000000000e-01 1.0717133800e-04 
9.0000000000e-01 1.1604766440e-04 
9.1000000000e-01 1.2527764890e-04 
9.2000000000e-01 1.3485785640e-04 
9.3000000000e-01 1.4478497420e-04 
9.4000000000e-01 1.5505549270e-04 
9.5000000000e-01 1.6524870170e-04 
9.6000000000e-01 1.7570207880e-04 
9.7000000000e-01 1.8646187480e-04 
9.8000000000e-01 1.9752000930e-04 
9.9000000000e-01 2.0886942440e-04 
1.0000000000e+00 2.2050332820e-04 
1.0100000000e+00 2.3241516130e-04 
1.0200000000e+00 2.4459872170e-04 
1.0300000000e+00 2.5704838840e-04 
1.0400000000e+00 2.6975870760e-04 
1.0500000000e+00 2.8272563310e-04 
1.0600000000e+00 2.9594166440e-04 
1.0700000000e+00 3.0940154850e-04 
1.0800000000e+00 3.2310020250e-04 
1.0900000000e+00 3.3703313080e-04 
1.1000000000e+00 3.5119597580e-04 
1.1100000000e+00 3.6558520060e-04 
1.1200000000e+00 3.8019913840e-04 
1.1300000000e+00 3.9503223820e-04 
1.1400000000e+00 4.1008132600e-04 
1.1500000000e+00 4.2534273830e-04 
1.1600000000e+00 4.4059558900e-04 
1.1700000000e+00 4.5462607210e-04 
1.1800000000e+00 4.6879178370e-04 
1.1900000000e+00 4.8305402190e-04 
1.2000000000e+00 4.9740489230e-04 
